Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
1572913278.8251, 58, 0, 0.439483, -0.527588, -0.445374, -0.574585, 0.990249, 0.036622, 0.034668, -74.171054, -74.619669, 64.451057
1572913278.8408, 59, 0, 0.439613, -0.527649, -0.445251, -0.574524, 0.986343, 0.051759, 0.047364, -75.068284, -72.974746, 62.806134
1572913278.8565, 60, 0, 0.439529, -0.527771, -0.44519, -0.574524, 0.990249, 0.036622, 0.034668, -74.171054, -74.619669, 64.451057
1572913278.8722, 61, 0, 0.439483, -0.527588, -0.445374, -0.574585, 0.993668, 0.047364, 0.047852, -75.965515, -74.47013, 62.806134
1572913278.8879, 62, 0, 0.439547, -0.527771, -0.445251, -0.574463, 0.990249, 0.036622, 0.034668, -74.171054, -74.619669, 64.451057
1572913278.9037, 63, 0, 0.439553, -0.527832, -0.445251, -0.574402, 0.993668, 0.047364, 0.047852, -75.965515, -74.47013, 62.806134
1572913278.9194, 0, 0, 0.439565, -0.527771, -0.445313, -0.574402, 0.98439, 0.039551, 0.044923, -77.31136, -73.5729, 64.451057
1572913278.9351, 1, 0, 0.439498, -0.527893, -0.445313, -0.574341, 0.993179, 0.036622, 0.031739, -74.47013, -73.871977, 63.703365
1572913278.9509, 2, 0, 0.439374, -0.527893, -0.445435, -0.574341, 0.98439, 0.039551, 0.044923, -77.31136, -73.5729, 64.451057
1572913278.9666, 3, 0, 0.439465, -0.527832, -0.445496, -0.57428, 0.993179, 0.036622, 0.031739, -74.47013, -73.871977, 63.703365
1572913278.9823, 4, 0, 0.439374, -0.527893, -0.445435, -0.574341, 0.985367, 0.043946, 0.034668, -77.31136, -75.815976, 63.703365
1572913278.9979, 5, 0, 0.439418, -0.527893, -0.445313, -0.574402, 0.996109, 0.040528, 0.036133, -75.516899, -74.171054, 63.553826
1572913279.0134, 6, 0, 0.439486, -0.527954, -0.445251, -0.574341, 0.985367, 0.043946, 0.034668, -77.31136, -75.815976, 63.703365
1572913279.029, 7, 0, 0.439463, -0.528076, -0.445129, -0.574341, 0.996109, 0.040528, 0.036133, -75.516899, -74.171054, 63.553826
1572913279.0447, 8, 0, 0.439458, -0.528198, -0.445068, -0.57428, 0.98732, 0.041993, 0.026368, -75.367361, -73.5729, 64.451057
1572913279.0604, 9, 0, 0.439588, -0.528259, -0.444946, -0.574219, 1.000992, 0.05127, 0.038087, -74.47013, -73.871977, 62.955673
1572913279.0761, 10, 0, 0.439645, -0.528381, -0.444824, -0.574158, 0.98732, 0.041993, 0.026368, -75.367361, -73.871977, 63.404288
1572913279.0918, 11, 0, 0.439627, -0.528381, -0.444763, -0.574219, 1.000992, 0.05127, 0.038087, -74.769207, -73.722438, 63.105211
1572913279.1075, 12, 0, 0.439604, -0.528503, -0.444641, -0.574219, 0.976089, 0.050294, 0.043946, -75.516899, -74.171054, 65.04921
1572913279.123, 13, 0, 0.439645, -0.528381, -0.444824, -0.574158, 0.98732, 0.041993, 0.026368, -75.367361, -73.871977, 63.404288
1572913279.1386, 14, 0, 0.439586, -0.528503, -0.44458, -0.57428, 1.008316, 0.04004, 0.032227, -76.115053, -72.376593, 62.955673
1572913279.1541, 15, 0, 0.439567, -0.528503, -0.444519, -0.574341, 0.994156, 0.035645, 0.047852, -75.068284, -72.974746, 64.301518
1572913279.1696, 16, 0, 0.439488, -0.528503, -0.444519, -0.574402, 0.986343, 0.046876, 0.039551, -75.367361, -74.320592, 63.404288
1572913279.1853, 17, 0, 0.439408, -0.528503, -0.444519, -0.574463, 0.977066, 0.042969, 0.053712, -75.965515, -73.722438, 63.553826
1572913279.2008, 18, 0, 0.439452, -0.528503, -0.444397, -0.574524, 0.986343, 0.046876, 0.039551, -75.367361, -74.320592, 63.404288
1572913279.2165, 19, 0, 0.439305, -0.528625, -0.444397, -0.574524, 0.977066, 0.042969, 0.053712, -75.965515, -73.722438, 63.553826
1572913279.2322, 20, 0, 0.439305, -0.528625, -0.444397, -0.574524, 0.993668, 0.036133, 0.036622, -76.713207, -71.778439, 63.852903
1572913279.2479, 21, 0, 0.439287, -0.528625, -0.444336, -0.574585, 0.983413, 0.051759, 0.039063, -75.965515, -72.227054, 65.04921
1572913279.2636, 22, 0, 0.439311, -0.528687, -0.444397, -0.574463, 0.993668, 0.036133, 0.036622, -76.713207, -71.778439, 63.852903
1572913279.2793, 23, 0, 0.439459, -0.528748, -0.444336, -0.574341, 0.983413, 0.051759, 0.039063, -75.965515, -72.227054, 65.04921
1572913279.295, 24, 0, 0.439465, -0.528809, -0.444336, -0.57428, 0.996597, 0.048341, 0.038575, -74.918746, -73.5729, 63.703365
1572913279.3105, 25, 0, 0.439422, -0.528809, -0.444458, -0.574219, 0.983413, 0.048829, 0.037598, -75.367361, -72.825208, 62.955673
1572913279.326, 26, 0, 0.439422, -0.528809, -0.444458, -0.574219, 0.996597, 0.048341, 0.038575, -74.918746, -73.5729, 63.703365
1572913279.3415, 27, 0, 0.43941, -0.52887, -0.444397, -0.574219, 0.983413, 0.048829, 0.037598, -73.722438, -74.619669, 64.451057
1572913279.3574, 28, 0, 0.439422, -0.528809, -0.444458, -0.574219, 0.99855, 0.044434, 0.036133, -76.115053, -73.124285, 64.15198
1572913279.373, 29, 0, 0.439398, -0.528931, -0.444336, -0.574219, 0.983413, 0.048829, 0.037598, -75.068284, -73.423362, 64.301518
